id,street,house_no,geom
03200,Aachener Straße,11,298136.611 5624134.902
03200,Aachener Straße,12,298111.01 5624098.004
03200,Aachener Straße,13,298145.099 5624146.249
03200,Aachener Straße,60,298224.179 5623600.616
03200,Aachener Straße,69,298262.568 5623535.223
03200,Aachener Straße,82,298303.121 5623401.92
03200,Aachener Straße,84,298306.458 5623396.112
03200,Aachener Straße,89,298362.285 5623357.613
03200,Aachener Straße,94,298371.103 5623313.221
03200,Aachener Straße,95,298412.815 5623324.984
03200,Aachener Straße,96,298392.686 5623298.746
03200,Aachener Straße,111,298532.637 5623205.694
03200,Aachener Straße,111 a,298540.562 5623199.553
03200,Aachener Straße,113,298551.921 5623171.139
03200,Aachener Straße,115,298560.872 5623163.602
03200,Aachener Straße,116,298524.171 5623159.516
03200,Aachener Straße,117,298568.269 5623137.312
03200,Aachener Straße,118,298528.174 5623154.568
03200,Aachener Straße,119,298577.822 5623126.084
03200,Aachener Straße,120,298532.368 5623146.879
03200,Aachener Straße,121,298586.175 5623077.313
03200,Aachener Straße,122,298534.346 5623141.353
03200,Aachener Straße,123,298606.157 5623066.745
03200,Aachener Straße,124,298536.881 5623134.254
03200,Aachener Straße,126,298547.771 5623114.864
03200,Aachener Straße,128,298544.644 5623045.936
03200,Aachener Straße,129,298574.865 5623038.46
03200,Aachener Straße,130,298530.722 5623000.198
03200,Aachener Straße,132,298528.267 5622977.024
03200,Aachener Straße,133,298564.874 5623011.123
03200,Aachener Straße,133 a,298557.246 5623008.85
03200,Aachener Straße,135,298561.514 5622975.882
03200,Aachener Straße,200,298813.492 5622692.969
03200,Aachener Straße,201,298820.372 5622715.945
03200,Aachener Straße,202,298830.386 5622688.39
03200,Aachener Straße,203,298828.788 5622712.461
03200,Aachener Straße,204,298848.229 5622678.141
03200,Aachener Straße,205,298851.802 5622703.139
03200,Aachener Straße,206,298875.776 5622669.531
03200,Aachener Straße,207,298858.2 5622700.478
03200,Aachener Straße,208,298880.659 5622667.48
03200,Aachener Straße,209,298879.446 5622691.722
03200,Aachener Straße,210,298896.804 5622660.765
03200,Aachener Straße,211,298885.822 5622689.012
03200,Aachener Straße,212,298912.322 5622648.445
03200,Aachener Straße,213,298907.197 5622680.151
03200,Aachener Straße,214,298918.089 5622646.127
03200,Aachener Straße,215,298913.638 5622677.493
03200,Aachener Straße,216,298940.653 5622636.583
03200,Aachener Straße,217,298934.976 5622668.854
03200,Aachener Straße,218,298946.22 5622634.326
03200,Aachener Straße,219,298945.75 5622663.891
03200,Aachener Straße,220,298970.833 5622621.692
03200,Aachener Straße,221,298962.326 5622657.452
03200,Aachener Straße,222,298976.46 5622619.404
03200,Aachener Straße,223,298971.393 5622653.716
03200,Aachener Straße,224,299001.727 5622612.601
03200,Aachener Straße,225,298997.743 5622641.588
03200,Aachener Straße,226,299010.588 5622608.992
03200,Aachener Straße,227,299006.36 5622637.623
03200,Aachener Straße,228,299034.001 5622600.273
03200,Aachener Straße,229,299031.843 5622628.75
03200,Aachener Straße,230,299044.86 5622598.367
03200,Aachener Straße,231,299038.173 5622626.862
03200,Aachener Straße,232,299071.212 5622591.512
03200,Aachener Straße,233,299062.811 5622619.596
03200,Aachener Straße,234,299080.58 5622589.456
03200,Aachener Straße,235,299079.275 5622615.875
03200,Aachener Straße,236,299102.064 5622584.591
03200,Aachener Straße,237,299099.025 5622614.943
03200,Aachener Straße,238,299113.608 5622581.972
03200,Aachener Straße,239,299108.338 5622612.844
03200,Aachener Straße,240,299130.562 5622570.377
03200,Aachener Straße,241,299131.357 5622607.606
03200,Aachener Straße,242,299138.661 5622577.387
03200,Aachener Straße,243,299141.024 5622605.342
03200,Aachener Straße,245,299165.324 5622599.27
03200,Aachener Straße,246,299219.5 5622553.709
03200,Aachener Straße,247,299175.007 5622597.039
03200,Aachener Straße,249,299207.399 5622589.689
03200,Aachener Straße,251,299217.342 5622587.451
03200,Aachener Straße,252 g,299399.004 5622495.654
03200,Aachener Straße,252 e,299379.028 5622509.874
03200,Aachener Straße,252 h,299405.39 5622494.161
03200,Aachener Straße,252 f,299395.542 5622500.139
03200,Aachener Straße,252 i,299408.969 5622489.377
03200,Aachener Straße,252,299352.569 5622525.22
03200,Aachener Straße,254,299441.43 5622468.472
03200,Aachener Straße,255,299245.334 5622575.621
03200,Aachener Straße,256,299454.463 5622452.781
